Date,Open,High,Low,Close,Adj Close,Volume
2024-05-23,1384.000000,1448.800049,1369.900024,1443.349976,1437.183716,7821034
2024-05-24,1435.000000,1444.949951,1382.150024,1416.099976,1410.050171,19100263
2024-05-27,1445.000000,1457.050049,1423.599976,1431.650024,1425.533813,5517078
2024-05-28,1438.000000,1438.000000,1398.000000,1400.500000,1394.516846,4070886
2024-05-29,1406.000000,1427.849976,1382.900024,1410.000000,1403.976196,3214475
2024-05-30,1410.000000,1413.650024,1373.650024,1383.500000,1377.589478,3477661
2024-05-31,1391.000000,1451.000000,1391.000000,1437.400024,1431.259277,8238969
2024-06-03,1549.000000,1621.400024,1535.000000,1583.949951,1577.183105,23398347
2024-06-04,1558.000000,1558.000000,1188.000000,1248.949951,1243.614258,52109624
2024-06-05,1281.000000,1368.000000,1160.599976,1354.599976,1348.812866,20879925
2024-06-06,1384.000000,1404.000000,1344.800049,1352.949951,1347.169922,12153840
2024-06-07,1357.699951,1385.000000,1355.050049,1378.849976,1372.959351,5884018
2024-06-10,1404.000000,1415.349976,1381.250000,1384.050049,1378.137207,4843234
2024-06-11,1391.000000,1418.800049,1384.050049,1403.449951,1397.454224,4122878
2024-06-12,1411.750000,1414.449951,1390.599976,1393.949951,1387.994751,3258265
2024-06-13,1403.599976,1411.000000,1388.050049,1404.449951,1398.449951,2839159
2024-06-14,1409.000000,1442.000000,1395.449951,1430.699951,1430.699951,5651491
2024-06-18,1447.000000,1458.599976,1434.050049,1445.000000,1445.000000,5651898
2024-06-19,1446.000000,1452.000000,1420.449951,1448.400024,1448.400024,4484742
2024-06-20,1459.300049,1476.800049,1444.099976,1469.400024,1469.400024,4905603
2024-06-21,1479.949951,1498.900024,1470.000000,1485.500000,1485.500000,25891893
